LINEAGE,0
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,93.75
GENERATION,5,96.875
GENERATION,6,98.4375
GENERATION,7,99.21874999999999
GENERATION,8,99.60937500000001
GENERATION,9,99.8046875
GENERATION,10,99.90234375
LINEAGE,1
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.50000000000001
GENERATION,4,93.74999999999999
GENERATION,5,96.875
GENERATION,6,98.43749999999999
GENERATION,7,99.21875
GENERATION,8,99.60937500000003
GENERATION,9,99.80468750000003
GENERATION,10,99.90234374999997
LINEAGE,2
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.49999999999999
GENERATION,4,93.74999999999999
GENERATION,5,96.87500000000001
GENERATION,6,98.43750000000001
GENERATION,7,99.21875
GENERATION,8,99.60937500000003
GENERATION,9,99.80468750000001
GENERATION,10,99.90234374999999
